from,to,weight
14066,21330,7
14066,21331,7
14066,21332,7
14066,21333,7
14066,21337,7
14066,21345,7
14066,21346,7
14066,21347,7
14066,21348,7
14066,21349,7
14066,21350,7
14066,21351,7
14066,21353,6.5
14066,21354,7
14066,21355,7
14066,21356,7
14066,21357,6
14066,21358,1
14066,21359,7
14066,21360,7
14066,21364,7
14066,21365,0.5
14066,21367,7
14066,21373,7
14066,21376,7
14066,21500,7
14066,21501,7
14066,21503,7
14066,21505,7
14066,21507,0.5
14066,21509,7
14066,21510,7
14066,21512,7
14066,21513,7
14066,21514,7
14066,21515,7
14066,21516,7
14066,21519,7
14066,21520,7
14066,21521,7
14066,21522,7
14066,21523,7
14066,21524,7
14066,21526,7
14066,21527,7
14066,21528,7
14066,21531,7
14066,21532,2
14066,21537,7
14066,21539,7
14066,21541,7
14066,21542,7
14066,21543,7
14066,21544,7
14066,21546,7
14066,21547,7
14066,21549,7
14066,21550,7
14066,21551,7
14066,21552,7
14066,21553,7
14066,21554,0.5
14066,21555,7
14066,21556,7
14066,21557,7
14066,21558,7
14066,21559,7
14066,21560,7
14066,21561,7
14066,21562,7
14066,21563,7
14066,21564,7
14066,21565,7
14066,21700,7
14066,21701,7
14066,21702,7
14066,21704,7
14066,21705,7
14066,21708,7
14066,21710,7
14066,21714,7
14066,21716,7
14066,21717,7
14066,21718,7
14066,21719,7
14066,21720,7
14066,21721,7
14066,21724,7
14066,21725,7
14066,21727,7
14066,21731,7
14066,21733,7
14066,21734,7
14066,21735,7
14066,21737,7
14066,21742,7
14066,21744,7
14066,21745,7
14066,21748,7
14066,21749,7
14066,21750,3
14066,21751,3
14066,21752,3
14066,21753,2.5
14066,21755,3
14066,29127,4
14066,29143,7
14066,29321,7
14066,29323,7
14066,29346,2
14066,29375,7
14066,29378,0.5
14066,29393,7
14066,29539,7
14066,29541,7
14066,29546,5
14066,29550,7
14066,29565,7
14066,29572,7
14066,29587,1.5
14066,29588,2
14066,29701,7
14066,29717,0.5
14066,29718,7
14066,29759,7
14066,29760,7
14066,29762,7
14066,29769,1
14066,29910,7
14066,29932,7
14066,31102,7
14066,31103,1
14066,39305,2
14066,39308,7
14263,10713,4
14263,14873,7
14263,15019,7
14263,15029,7
14263,15033,7
14263,15124,7
14263,15410,7
14263,15431,7
14263,15438,7
14263,15444,5
14263,15448,7
14263,15454,7
14263,15603,7
14263,15612,7
14263,15616,7
14263,20104,7
14263,20108,7
14263,20119,7
14263,20122,7
14263,20134,1
14263,20136,6
14263,20145,7
14263,20147,7
14263,20305,7
14263,20310,7
14263,20321,7
14263,20325,1
14263,20329,7
14263,20340,7
14263,20343,7
14263,20501,6
14263,20504,7
14263,20505,2
14263,20508,3
14263,20517,7
14263,20519,7
14263,20529,7
14263,20533,5
14263,20536,0.5
14263,20537,7
14263,20538,7
14263,20542,7
14263,20702,7
14263,20705,7
14263,20706,7
14263,20708,7
14263,20712,7
14263,20720,7
14263,20723,7
14263,20724,7
14263,20726,6
14263,20727,7
14263,20731,7
14263,20733,7
14263,20748,7
14263,20749,7
14263,20750,7
14263,20754,7
14263,20757,7
14263,20759,1.5
14263,20762,7
14263,20904,7
14263,20906,1
14263,20907,7
14263,20920,7
14263,20927,7
14263,20932,7
14263,20934,7
14263,20941,6.5
14263,20944,6.5
14263,20946,1
14263,20952,7
14263,20954,7
14263,20955,7
14263,20958,7
14263,20959,7
14263,21102,7
14263,21103,0.5
14263,21110,6.5
14263,21118,7
14263,21124,7
14263,21137,7
14263,21140,7
14263,21167,1
14263,21168,1
14263,21171,1
14263,21172,7
14263,21176,2
14263,21177,1
14263,21198,6.5
14263,21300,7
14263,21303,6.5
14263,21304,7
14263,21306,7
14263,21308,7
14263,21309,7
14263,21311,7
14263,21312,7
14263,21313,7
14263,21314,7
14263,21315,7
14263,21316,7
14263,21321,7
14263,21324,6
14263,21326,7
14263,21329,7
14263,21334,7
14263,21335,7
14263,21340,7
14263,21341,7
14263,21342,7
14263,21343,7
14263,21344,7
14263,21352,7
14263,21353,0.5
14263,21357,1
14263,21358,6
14263,21361,7
14263,21362,7
14263,21365,6.5
14263,21366,7
14263,21368,7
14263,21369,7
14263,21370,7
14263,21371,7
14263,21372,7
14263,21375,7
14263,21502,7
14263,21504,7
14263,21506,7
14263,21507,6.5
14263,21508,7
14263,21525,7
14263,21529,7
14263,21530,7
14263,21532,2
14263,21536,7
14263,21538,7
14263,21540,7
14263,21545,7
14263,21548,7
14263,21554,6.5
